run,reference,P_projectile_bound,P_target_bound,relative_change,nbasis,dt_actual,norm,max_antihermitian_defect,screening_1pct,scientific_admission
aocc_base,aocc_base,0.01017908451552905,0.893256402655676,0.0,52,0.04996782580968821,1.0000000000000069,6.322524615404519e-07,REFERENCE,False
aocc_dt025,aocc_base,0.010180184238728138,0.8932214788317256,0.00010803753494831814,52,0.024983912904844106,0.9999999999998519,6.273825421587975e-07,PASS_PAIR_ONLY,False
aocc_radial_only,aocc_base,0.009697348964820942,0.8889603782357445,0.047326019346158286,74,0.04996782580968821,1.000000000000044,1.3740756715055013e-05,FAIL,False
aocc_exponent_only,aocc_base,0.011655918326196666,0.8995072599541453,0.14508513102672274,50,0.04996782580968821,1.000000000000008,1.0776318900261443e-07,FAIL,False
