run,reference,dx,dt_requested,dt_actual,imag_dt,imag_steps,initial_E_Eh,E_plus_half_Eh,stationary_residual_Eh,P_raw,P_span_nmax,P_span_n1,P_span_n2,P_region,norm,relative_change,screening_1pct,gram_condition,gram_identity_norm,gap_identity_residual,scientific_admission
tdl_cap_base,,0.4,0.05,0.04996782580968821,0.05,300,-0.47210604555658936,0.02789395444341064,0.013656715495114194,0.006866205363689361,0.006870853628160509,0.0050646417963064565,0.006430796040456771,0.02432045633263623,0.9795453702672151,0.0,REFERENCE,1.001142770906508,0.0011411516790458672,3.469446951953614e-18,False
tdl_dt025,tdl_cap_base,0.4,0.025,0.02499784704477988,0.05,300,-0.47210604555658936,0.02789395444341064,0.013656715495114194,0.006894140402308134,0.006898845773462345,0.005089514453076875,0.006457054962162331,0.02437641494876764,0.97945369756361,0.00407404186098634,PASS_PAIR_ONLY,1.001142770906508,0.0011411516790458672,3.469446951953614e-18,False
tdl_imag025,tdl_cap_base,0.4,0.05,0.04996782580968821,0.025,600,-0.47211478237670135,0.027885217623298653,0.0034901375377752943,0.006865264493074298,0.006869912147324636,0.005063970102810703,0.006429922649934081,0.02431645428000358,0.9795468217355484,0.0001370253081822296,PASS_PAIR_ONLY,1.001142770906508,0.0011411516790458672,6.938893903907228e-18,False
tdl_imag025_long,tdl_imag025,0.4,0.05,0.04996782580968821,0.025,1200,-0.4721147979897622,0.02788520201023781,0.0034891211253023956,0.0068647628290767005,0.006869410167511592,0.005063614180306342,0.006429457148159318,0.02431402002378182,0.9795469700360312,7.306932057923455e-05,PASS_PAIR_ONLY,1.001142770906508,0.0011411516790458672,3.469446951953614e-18,False
tdl_refined_dx03125,tdl_imag025_long,0.3125,0.05,0.04996782580968821,0.025,1200,-0.48142376564119804,0.018576234358801957,0.0091343158002852,0.007583222494558053,0.007584594656084447,0.005673867415240072,0.00710538015127493,0.025654830005905245,0.978529996706337,0.10411148426618518,FAIL,1.000273052918463,0.0002728463337209062,0.0,False
tdl_refined_dx025,tdl_refined_dx03125,0.25,0.05,0.04996782580968821,0.025,1200,-0.48733877741393217,0.012661222586067833,0.02107820266150606,0.007757311331060415,0.007758277379377454,0.0058161460263310575,0.007272857097993014,0.02590864320139189,0.9787368204572628,0.022899407439483467,FAIL,1.0002122829449316,0.00021221903987694962,3.469446951953614e-18,False
